,ligandA,ligandB,D_mol_weight,D_rot_bonds,D_rings,D_heavy_atoms,D_atoms,D_charge,charge
cmet_edge_CHEMBL3402743_42_CHEMBL3402758_10,CHEMBL3402743_42,CHEMBL3402758_10,0.030077004000077068,1.0,1.0,1.0,3.0,0.0,charge_to_dummy
cmet_edge_CHEMBL3402743_42_CHEMBL3402760_1,CHEMBL3402743_42,CHEMBL3402760_1,24.030077004000077,1.0,1.0,3.0,5.0,0.0,charge_to_dummy
cmet_edge_CHEMBL3402743_42_CHEMBL3402762_1,CHEMBL3402743_42,CHEMBL3402762_1,50.04572706800013,4.0,2.0,5.0,9.0,0.0,charge_to_dummy
cmet_edge_CHEMBL3402743_42_CHEMBL3402763_90,CHEMBL3402743_42,CHEMBL3402763_90,45.983242400000165,2.0,0.0,1.0,6.0,0.0,constant_charge
cmet_edge_CHEMBL3402743_42_CHEMBL3402764_90,CHEMBL3402743_42,CHEMBL3402764_90,17.990578187999972,0.0,0.0,1.0,0.0,0.0,constant_charge
cmet_edge_CHEMBL3402744_300_4_CHEMBL3402745_200_5,CHEMBL3402744_300_4,CHEMBL3402745_200_5,14.015650064000056,1.0,0.0,1.0,3.0,0.0,no_charge
cmet_edge_CHEMBL3402744_300_4_CHEMBL3402752_30000_12,CHEMBL3402744_300_4,CHEMBL3402752_30000_12,23.982241759999965,2.0,1.0,1.0,1.0,0.0,no_charge
cmet_edge_CHEMBL3402744_300_4_CHEMBL3402756_2.7,CHEMBL3402744_300_4,CHEMBL3402756_2.7,107.09676015209027,4.0,1.0,8.0,19.0,1.0,charge_change
cmet_edge_CHEMBL3402744_300_4_CHEMBL3402757_6.5,CHEMBL3402744_300_4,CHEMBL3402757_6.5,89.1061819640903,4.0,1.0,7.0,19.0,1.0,charge_change
cmet_edge_CHEMBL3402745_200_5_CHEMBL3402742_23,CHEMBL3402745_200_5,CHEMBL3402742_23,78.03719667609022,4.0,0.0,4.0,12.0,1.0,charge_change
cmet_edge_CHEMBL3402745_200_5_CHEMBL3402743_42,CHEMBL3402745_200_5,CHEMBL3402743_42,58.06512567609019,4.0,0.0,4.0,12.0,1.0,charge_change
cmet_edge_CHEMBL3402745_200_5_CHEMBL3402748_5300_8,CHEMBL3402745_200_5,CHEMBL3402748_5300_8,6.994580272000007,3.0,1.0,0.0,1.0,0.0,no_charge
cmet_edge_CHEMBL3402745_200_5_CHEMBL3402752_30000_12,CHEMBL3402745_200_5,CHEMBL3402752_30000_12,9.96659169599991,3.0,1.0,0.0,2.0,0.0,no_charge
cmet_edge_CHEMBL3402745_200_5_CHEMBL3402756_2.7,CHEMBL3402745_200_5,CHEMBL3402756_2.7,93.08111008809021,3.0,1.0,7.0,16.0,1.0,charge_change
cmet_edge_CHEMBL3402747_3400_7_CHEMBL3402744_300_4,CHEMBL3402747_3400_7,CHEMBL3402744_300_4,9.000334347999967,2.0,1.0,1.0,0.0,0.0,no_charge
cmet_edge_CHEMBL3402747_3400_7_CHEMBL3402749_500_9,CHEMBL3402747_3400_7,CHEMBL3402749_500_9,0.9952489679999985,0.0,0.0,0.0,1.0,0.0,no_charge
cmet_edge_CHEMBL3402747_3400_7_CHEMBL3402751_2100_11,CHEMBL3402747_3400_7,CHEMBL3402751_2100_11,14.981907411999998,0.0,0.0,0.0,1.0,0.0,no_charge
cmet_edge_CHEMBL3402747_3400_7_CHEMBL3402752_30000_12,CHEMBL3402747_3400_7,CHEMBL3402752_30000_12,14.981907411999998,0.0,0.0,0.0,1.0,0.0,no_charge
cmet_edge_CHEMBL3402747_3400_7_CHEMBL3402755_4200_15,CHEMBL3402747_3400_7,CHEMBL3402755_4200_15,10.020735444000081,0.0,0.0,1.0,3.0,0.0,no_charge
cmet_edge_CHEMBL3402748_5300_8_CHEMBL3402751_2100_11,CHEMBL3402748_5300_8,CHEMBL3402751_2100_11,16.961171967999917,0.0,0.0,0.0,1.0,0.0,no_charge
cmet_edge_CHEMBL3402749_500_9_CHEMBL3402748_5300_8,CHEMBL3402749_500_9,CHEMBL3402748_5300_8,0.9840155879999202,0.0,0.0,0.0,1.0,0.0,no_charge
cmet_edge_CHEMBL3402750_400_10_CHEMBL3402748_5300_8,CHEMBL3402750_400_10,CHEMBL3402748_5300_8,16.961171967999917,0.0,0.0,0.0,1.0,0.0,no_charge
cmet_edge_CHEMBL3402750_400_10_CHEMBL3402749_500_9,CHEMBL3402750_400_10,CHEMBL3402749_500_9,15.977156379999997,0.0,0.0,0.0,0.0,0.0,no_charge
cmet_edge_CHEMBL3402750_400_10_CHEMBL3402751_2100_11,CHEMBL3402750_400_10,CHEMBL3402751_2100_11,0.0,0.0,0.0,0.0,0.0,0.0,no_charge
cmet_edge_CHEMBL3402752_30000_12_CHEMBL3402751_2100_11,CHEMBL3402752_30000_12,CHEMBL3402751_2100_11,0.0,0.0,0.0,0.0,0.0,0.0,no_charge
cmet_edge_CHEMBL3402752_30000_12_CHEMBL3402754_40_14,CHEMBL3402752_30000_12,CHEMBL3402754_40_14,4.961171967999917,0.0,0.0,1.0,2.0,0.0,no_charge
cmet_edge_CHEMBL3402753_200_13_CHEMBL3402747_3400_7,CHEMBL3402753_200_13,CHEMBL3402747_3400_7,9.025486476000083,0.0,0.0,1.0,4.0,0.0,no_charge
cmet_edge_CHEMBL3402753_200_13_CHEMBL3402750_400_10,CHEMBL3402753_200_13,CHEMBL3402750_400_10,5.956420935999915,0.0,0.0,1.0,3.0,0.0,no_charge
cmet_edge_CHEMBL3402753_200_13_CHEMBL3402755_4200_15,CHEMBL3402753_200_13,CHEMBL3402755_4200_15,0.9952489679999985,0.0,0.0,0.0,1.0,0.0,no_charge
cmet_edge_CHEMBL3402753_200_13_CHEMBL3402761_1_21,CHEMBL3402753_200_13,CHEMBL3402761_1_21,105.07267008800028,3.0,1.0,8.0,17.0,0.0,no_charge
cmet_edge_CHEMBL3402755_4200_15_CHEMBL3402754_40_14,CHEMBL3402755_4200_15,CHEMBL3402754_40_14,0.0,0.0,0.0,0.0,0.0,0.0,no_charge
cmet_edge_CHEMBL3402757_6.5_CHEMBL3402756_2.7,CHEMBL3402757_6.5,CHEMBL3402756_2.7,17.990578187999972,0.0,0.0,1.0,0.0,0.0,constant_charge
cmet_edge_CHEMBL3402758_10_CHEMBL3402742_23,CHEMBL3402758_10,CHEMBL3402742_23,19.94199399599995,1.0,1.0,1.0,3.0,0.0,charge_to_dummy
cmet_edge_CHEMBL3402758_10_CHEMBL3402756_2.7,CHEMBL3402758_10,CHEMBL3402756_2.7,34.985907407999946,0.0,0.0,2.0,1.0,0.0,constant_charge
cmet_edge_CHEMBL3402758_10_CHEMBL3402760_1,CHEMBL3402758_10,CHEMBL3402760_1,24.0,0.0,0.0,2.0,2.0,0.0,constant_charge
cmet_edge_CHEMBL3402759_5.7_CHEMBL3402757_6.5,CHEMBL3402759_5.7,CHEMBL3402757_6.5,12.019986496000115,2.0,0.0,1.0,4.0,0.0,constant_charge
cmet_edge_CHEMBL3402759_5.7_CHEMBL3402758_10,CHEMBL3402759_5.7,CHEMBL3402758_10,29.01531571600009,2.0,0.0,2.0,5.0,0.0,constant_charge
cmet_edge_CHEMBL3402759_5.7_CHEMBL3402763_90,CHEMBL3402759_5.7,CHEMBL3402763_90,16.93784968,1.0,1.0,2.0,2.0,0.0,charge_to_dummy
cmet_edge_CHEMBL3402761_1_21_CHEMBL3402754_40_14,CHEMBL3402761_1_21,CHEMBL3402754_40_14,104.07742112000028,3.0,1.0,8.0,18.0,0.0,no_charge
cmet_edge_CHEMBL3402761_1_21_CHEMBL3402755_4200_15,CHEMBL3402761_1_21,CHEMBL3402755_4200_15,104.07742112000028,3.0,1.0,8.0,18.0,0.0,no_charge
cmet_edge_CHEMBL3402761_1_21_CHEMBL3402760_1,CHEMBL3402761_1_21,CHEMBL3402760_1,26.987638167910006,3.0,1.0,2.0,1.0,1.0,charge_change
cmet_edge_CHEMBL3402761_1_21_CHEMBL3402762_1,CHEMBL3402761_1_21,CHEMBL3402762_1,0.9719881039099505,0.0,0.0,0.0,3.0,1.0,charge_change
cmet_edge_CHEMBL3402762_1_CHEMBL3402760_1,CHEMBL3402762_1,CHEMBL3402760_1,26.015650064000056,3.0,1.0,2.0,4.0,0.0,charge_to_dummy
cmet_edge_CHEMBL3402763_90_CHEMBL3402764_90,CHEMBL3402763_90,CHEMBL3402764_90,63.97382058800014,2.0,0.0,2.0,6.0,0.0,constant_charge
cmet_edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402742_23,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402742_23,22.038493684000002,2.0,1.0,3.0,5.0,0.0,constant_charge
cmet_edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402743_42,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402743_42,42.01056468400003,2.0,1.0,3.0,5.0,0.0,constant_charge
cmet_edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402744_300_4,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402744_300_4,114.09134042409028,3.0,1.0,8.0,20.0,1.0,charge_change
cmet_edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402745_200_5,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402745_200_5,100.07569036009022,2.0,1.0,7.0,17.0,1.0,charge_change
cmet_edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402760_1,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402760_1,17.980487679999953,1.0,0.0,0.0,0.0,0.0,charge_to_dummy
cmet_edge_CHEMBL3402765_11-charged-pKa-8.1_CHEMBL3402764_90,CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402764_90,60.001142872,2.0,1.0,4.0,5.0,0.0,constant_charge
mcl1_edge_26_44,26,44,32.977012059999936,0.0,0.0,1.0,1.0,0.0,constant_charge
mcl1_edge_26_57,26,57,13.031634476000022,1.0,0.0,1.0,4.0,0.0,constant_charge
mcl1_edge_26_64,26,64,49.93818402799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_27_23,27,23,66.97682203200014,0.0,1.0,4.0,5.0,0.0,constant_charge
mcl1_edge_27_45,27,45,54.04695019200017,0.0,1.0,4.0,10.0,0.0,constant_charge
mcl1_edge_27_46,27,46,40.03130012800017,0.0,1.0,3.0,7.0,0.0,constant_charge
mcl1_edge_28_27,28,27,14.015650064000056,1.0,0.0,1.0,3.0,0.0,constant_charge
mcl1_edge_28_35,28,35,33.96102764800003,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_28_47,28,47,36.995248968000055,1.0,1.0,3.0,2.0,0.0,constant_charge
mcl1_edge_29_27,29,27,67.98738462800003,1.0,0.0,4.0,3.0,0.0,constant_charge
mcl1_edge_29_35,29,35,20.010706915999947,0.0,0.0,2.0,0.0,0.0,constant_charge
mcl1_edge_29_40,29,40,24.038830120000057,1.0,1.0,3.0,8.0,0.0,constant_charge
mcl1_edge_30_27,30,27,14.015650064000113,1.0,0.0,1.0,3.0,0.0,constant_charge
mcl1_edge_30_35,30,35,33.96102764799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_30_40,30,40,78.01056468399997,1.0,1.0,6.0,8.0,0.0,constant_charge
mcl1_edge_30_48,30,48,24.995248968,1.0,1.0,2.0,1.0,0.0,constant_charge
mcl1_edge_31_35,31,35,20.010706915999947,0.0,0.0,2.0,0.0,0.0,constant_charge
mcl1_edge_32_34,32,34,53.97173456399992,0.0,0.0,3.0,0.0,0.0,constant_charge
mcl1_edge_32_46,32,46,26.015650064000113,1.0,1.0,2.0,4.0,0.0,constant_charge
mcl1_edge_33_27,33,27,33.96102764799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_35_33,35,33,14.015650064000113,1.0,0.0,1.0,3.0,0.0,constant_charge
mcl1_edge_35_34,35,34,20.01070691599989,0.0,0.0,2.0,0.0,0.0,constant_charge
mcl1_edge_35_36,35,36,14.015650064000056,1.0,0.0,1.0,3.0,0.0,constant_charge
mcl1_edge_35_37,35,37,14.015650064000056,1.0,0.0,1.0,3.0,0.0,constant_charge
mcl1_edge_35_39,35,39,28.05462241600003,0.0,1.0,4.0,7.0,0.0,constant_charge
mcl1_edge_35_53,35,53,47.97667771200008,1.0,0.0,2.0,3.0,0.0,constant_charge
mcl1_edge_35_60,35,60,30.976822032000086,1.0,0.0,1.0,2.0,0.0,constant_charge
mcl1_edge_38_35,38,35,28.05462241600003,0.0,1.0,4.0,7.0,0.0,constant_charge
mcl1_edge_38_60,38,60,2.922199616000057,1.0,1.0,3.0,5.0,0.0,constant_charge
mcl1_edge_39_32,39,32,62.015650064000056,0.0,1.0,5.0,7.0,0.0,constant_charge
mcl1_edge_41_32,41,32,78.01056468400003,1.0,1.0,6.0,8.0,0.0,constant_charge
mcl1_edge_41_35,41,35,44.049537036000004,1.0,1.0,5.0,8.0,0.0,constant_charge
mcl1_edge_42_51,42,51,33.96102764800008,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_42_64,42,64,50.92219961600006,0.0,0.0,1.0,1.0,0.0,constant_charge
mcl1_edge_43_27,43,27,50.01565006400011,0.0,1.0,4.0,6.0,0.0,constant_charge
mcl1_edge_43_47,43,47,0.9952489679999985,0.0,0.0,0.0,1.0,0.0,constant_charge
mcl1_edge_44_23,44,23,16.99985567999994,0.0,0.0,1.0,1.0,0.0,constant_charge
mcl1_edge_48_27,48,27,39.01089903200011,0.0,1.0,3.0,4.0,0.0,constant_charge
mcl1_edge_49_35,49,35,33.96102764800003,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_49_67,49,67,18.961361995999937,1.0,0.0,0.0,2.0,0.0,constant_charge
mcl1_edge_50_60,50,60,16.999855679999996,0.0,0.0,1.0,1.0,0.0,constant_charge
mcl1_edge_51_45,51,45,29.92972751999997,0.0,0.0,1.0,4.0,0.0,constant_charge
mcl1_edge_52_60,52,60,2.98420561599994,1.0,0.0,0.0,2.0,0.0,constant_charge
mcl1_edge_54_23,54,23,16.999855679999996,0.0,0.0,1.0,1.0,0.0,constant_charge
mcl1_edge_54_42,54,42,33.96102764800008,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_56_35,56,35,28.031300128000055,2.0,0.0,2.0,6.0,0.0,constant_charge
mcl1_edge_56_60,56,60,2.9455219040000316,1.0,0.0,1.0,4.0,0.0,constant_charge
mcl1_edge_57_23,57,23,2.9455219039999747,1.0,0.0,1.0,4.0,0.0,constant_charge
mcl1_edge_58_60,58,60,31.015505743999938,1.0,0.0,2.0,4.0,0.0,constant_charge
mcl1_edge_60_36,60,36,16.96117196800003,0.0,0.0,0.0,1.0,0.0,constant_charge
mcl1_edge_61_60,61,60,33.96102764799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_62_26,62,26,49.93818402799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_62_45,62,45,46.890899487999945,0.0,0.0,1.0,5.0,0.0,constant_charge
mcl1_edge_63_60,63,60,33.96102764799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_65_60,65,60,33.96102764799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_65_67,65,67,49.93818402799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_66_23,66,23,33.96102764799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_66_42,66,42,50.92219961600006,0.0,0.0,1.0,1.0,0.0,constant_charge
mcl1_edge_67_27,67,27,62.97634336400017,2.0,0.0,3.0,5.0,0.0,constant_charge
mcl1_edge_67_31,67,31,5.011041263999857,1.0,0.0,1.0,2.0,0.0,constant_charge
mcl1_edge_67_32,67,32,48.960693300000116,1.0,0.0,2.0,2.0,0.0,constant_charge
mcl1_edge_67_35,67,35,14.99966565200009,1.0,0.0,1.0,2.0,0.0,constant_charge
mcl1_edge_67_37,67,37,0.9840155880000339,0.0,0.0,0.0,1.0,0.0,constant_charge
mcl1_edge_67_50,67,50,32.97701205999999,0.0,0.0,1.0,1.0,0.0,constant_charge
mcl1_edge_67_52,67,52,18.961361995999937,1.0,0.0,0.0,2.0,0.0,constant_charge
mcl1_edge_67_53,67,53,32.97701205999999,0.0,0.0,1.0,1.0,0.0,constant_charge
mcl1_edge_67_58,67,58,46.992662123999935,1.0,0.0,2.0,4.0,0.0,constant_charge
mcl1_edge_67_61,67,61,49.93818402799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_67_63,67,63,49.93818402799997,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_68_23,68,23,17.983871267999973,0.0,0.0,1.0,0.0,0.0,constant_charge
mcl1_edge_68_45,68,45,30.91374310799995,0.0,0.0,1.0,5.0,0.0,constant_charge
bace_edge_CAT-13a_CAT-13m,CAT-13a,CAT-13m,64.006148,0.0,1.0,5.0,5.0,0.0,constant_charge
bace_edge_CAT-13a_CAT-17g,CAT-13a,CAT-17g,11.040449571999943,0.0,1.0,2.0,3.0,0.0,constant_charge
bace_edge_CAT-13a_CAT-17i,CAT-13a,CAT-17i,7.065521448000027,1.0,1.0,2.0,6.0,0.0,constant_charge
bace_edge_CAT-13b_CAT-17g,CAT-13b,CAT-17g,2.975200491999942,1.0,1.0,1.0,0.0,0.0,constant_charge
bace_edge_CAT-13c_CAT-17i,CAT-13c,CAT-17i,20.965778679999914,1.0,1.0,0.0,0.0,0.0,constant_charge
bace_edge_CAT-13d_CAT-13b,CAT-13d,CAT-13b,12.00000000000017,1.0,1.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-13d_CAT-13f,CAT-13d,CAT-13f,28.03130012800011,0.0,0.0,2.0,6.0,0.0,constant_charge
bace_edge_CAT-13d_CAT-13h,CAT-13d,CAT-13h,14.015650064000056,1.0,0.0,1.0,3.0,0.0,constant_charge
bace_edge_CAT-13d_CAT-13i,CAT-13d,CAT-13i,14.015650063999999,1.0,0.0,1.0,3.0,0.0,constant_charge
bace_edge_CAT-13d_CAT-17a,CAT-13d,CAT-17a,33.96102764799997,0.0,0.0,1.0,0.0,0.0,constant_charge
bace_edge_CAT-13d_CAT-17d,CAT-13d,CAT-17d,32.965778680000085,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-13d_CAT-17h,CAT-13d,CAT-17h,0.9952489679998848,0.0,0.0,0.0,1.0,0.0,constant_charge
bace_edge_CAT-13e_CAT-17g,CAT-13e,CAT-17g,28.99085055600017,0.0,0.0,1.0,4.0,0.0,constant_charge
bace_edge_CAT-13e_CAT-17i,CAT-13e,CAT-17i,32.965778680000085,1.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-13g_CAT-17g,CAT-13g,CAT-17g,57.02215068400028,0.0,0.0,3.0,10.0,0.0,constant_charge
bace_edge_CAT-13g_CAT-17i,CAT-13g,CAT-17i,60.9970788080002,1.0,0.0,3.0,7.0,0.0,constant_charge
bace_edge_CAT-13h_CAT-17i,CAT-13h,CAT-17i,32.965778680000085,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-13j_CAT-4o,CAT-13j,CAT-4o,15.970449459999998,0.0,0.0,0.0,0.0,0.0,constant_charge
bace_edge_CAT-13k_CAT-4b,CAT-13k,CAT-4b,4.945711931999881,2.0,0.0,1.0,5.0,0.0,constant_charge
bace_edge_CAT-13k_CAT-4d,CAT-13k,CAT-4d,9.069938132000118,3.0,0.0,2.0,8.0,0.0,constant_charge
bace_edge_CAT-13n_CAT-13a,CAT-13n,CAT-13a,64.006148,0.0,1.0,5.0,5.0,0.0,constant_charge
bace_edge_CAT-13n_CAT-13k,CAT-13n,CAT-13k,0.9952489680000554,0.0,0.0,0.0,1.0,0.0,constant_charge
bace_edge_CAT-13n_CAT-4i,CAT-13n,CAT-4i,34.95627661599991,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-13o_CAT-17h,CAT-13o,CAT-17h,41.956420936000086,0.0,0.0,2.0,0.0,0.0,constant_charge
bace_edge_CAT-13o_CAT-17i,CAT-13o,CAT-17i,61.90179852,1.0,0.0,2.0,3.0,0.0,constant_charge
bace_edge_CAT-17b_CAT-13d,CAT-17b,CAT-13d,3.95046296400011,2.0,0.0,1.0,4.0,0.0,constant_charge
bace_edge_CAT-17b_CAT-17e,CAT-17b,CAT-17e,0.9952489680000554,0.0,0.0,0.0,1.0,0.0,constant_charge
bace_edge_CAT-17c_CAT-17e,CAT-17c,CAT-17e,6.010564684000087,2.0,0.0,0.0,2.0,0.0,constant_charge
bace_edge_CAT-17f_CAT-17e,CAT-17f,CAT-17e,5.015315716000032,2.0,0.0,0.0,3.0,0.0,constant_charge
bace_edge_CAT-17g_CAT-13c,CAT-17g,CAT-13c,16.990850555999998,2.0,1.0,0.0,3.0,0.0,constant_charge
bace_edge_CAT-17g_CAT-13i,CAT-17g,CAT-13i,28.99085055600011,1.0,0.0,1.0,4.0,0.0,constant_charge
bace_edge_CAT-17g_CAT-17c,CAT-17g,CAT-17c,6.009421811999971,0.0,0.0,1.0,2.0,0.0,constant_charge
bace_edge_CAT-17g_CAT-17d,CAT-17g,CAT-17d,17.990578187999972,0.0,0.0,1.0,0.0,0.0,constant_charge
bace_edge_CAT-17g_CAT-17f,CAT-17g,CAT-17f,7.004670780000026,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-17i_CAT-13f,CAT-17i,CAT-13f,46.98142874400014,1.0,0.0,2.0,4.0,0.0,constant_charge
bace_edge_CAT-17i_CAT-17a,CAT-17i,CAT-17a,52.911156264,1.0,0.0,1.0,2.0,0.0,constant_charge
bace_edge_CAT-24_CAT-17e,CAT-24,CAT-17e,8.005085380000025,2.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-24_CAT-17i,CAT-24,CAT-17i,24.0,1.0,0.0,2.0,2.0,0.0,constant_charge
bace_edge_CAT-4a_CAT-13k,CAT-4a,CAT-13k,34.956276615999855,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-4a_CAT-4o,CAT-4a,CAT-4o,18.98582715599997,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-4c_CAT-4o,CAT-4c,CAT-4o,11.02473752800006,2.0,0.0,1.0,5.0,0.0,constant_charge
bace_edge_CAT-4i_CAT-13m,CAT-4i,CAT-13m,34.95627661599991,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-4j_CAT-4o,CAT-4j,CAT-4o,17.990578187999972,0.0,0.0,1.0,0.0,0.0,constant_charge
bace_edge_CAT-4k_CAT-4o,CAT-4k,CAT-4o,17.990578187999972,0.0,0.0,1.0,0.0,0.0,constant_charge
bace_edge_CAT-4l_CAT-13k,CAT-4l,CAT-13k,32.965778679999914,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-4m_CAT-13j,CAT-4m,CAT-13j,19.945377584000028,1.0,0.0,0.0,3.0,0.0,constant_charge
bace_edge_CAT-4m_CAT-13k,CAT-4m,CAT-13k,19.945377583999914,1.0,0.0,0.0,3.0,0.0,constant_charge
bace_edge_CAT-4m_CAT-13m,CAT-4m,CAT-13m,20.94062655199997,1.0,0.0,0.0,4.0,0.0,constant_charge
bace_edge_CAT-4m_CAT-4c,CAT-4m,CAT-4c,14.99966565200009,1.0,0.0,1.0,2.0,0.0,constant_charge
bace_edge_CAT-4m_CAT-4j,CAT-4m,CAT-4j,14.015650063999942,1.0,0.0,1.0,3.0,0.0,constant_charge
bace_edge_CAT-4m_CAT-4k,CAT-4m,CAT-4k,14.015650063999942,1.0,0.0,1.0,3.0,0.0,constant_charge
bace_edge_CAT-4m_CAT-4l,CAT-4m,CAT-4l,13.020401096,1.0,0.0,1.0,4.0,0.0,constant_charge
bace_edge_CAT-4m_CAT-4n,CAT-4m,CAT-4n,10.979598904000056,1.0,0.0,1.0,2.0,0.0,constant_charge
bace_edge_CAT-4m_CAT-4p,CAT-4m,CAT-4p,19.945377584000028,1.0,0.0,0.0,3.0,0.0,constant_charge
bace_edge_CAT-4n_CAT-13k,CAT-4n,CAT-13k,8.965778679999858,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_edge_CAT-4o_CAT-4b,CAT-4o,CAT-4b,11.024737528000003,2.0,0.0,1.0,5.0,0.0,constant_charge
bace_edge_CAT-4o_CAT-4d,CAT-4o,CAT-4d,25.040387592000002,3.0,0.0,2.0,8.0,0.0,constant_charge
bace_edge_CAT-4p_CAT-13k,CAT-4p,CAT-13k,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,constant_charge
bace_hunt_edge_11_19,11,19,48.001142872,2.0,0.0,3.0,4.0,0.0,constant_charge
bace_hunt_edge_11_21,11,21,51.95160583599994,0.0,0.0,2.0,0.0,0.0,constant_charge
bace_hunt_edge_11_24,11,24,67.98738462799997,1.0,0.0,4.0,3.0,0.0,constant_charge
bace_hunt_edge_11_35,11,35,68.98263359599997,1.0,0.0,4.0,2.0,0.0,constant_charge
bace_hunt_edge_12_14,12,14,3.9504629639999393,2.0,0.0,1.0,4.0,0.0,constant_charge
bace_hunt_edge_12_25,12,25,12.026693416000057,2.0,0.0,1.0,4.0,0.0,constant_charge
bace_hunt_edge_12_33,12,33,32.96577867999997,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_hunt_edge_13_25,13,25,20.99247209600003,2.0,0.0,0.0,3.0,0.0,constant_charge
bace_hunt_edge_16_15,16,15,0.0,0.0,0.0,0.0,0.0,0.0,constant_charge
bace_hunt_edge_16_26,16,26,35.981156375999944,0.0,0.0,2.0,0.0,0.0,constant_charge
bace_hunt_edge_17_34,17,34,32.965778679999914,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_hunt_edge_17_38,17,38,48.93622813999997,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_hunt_edge_18_14,18,14,17.990578187999972,0.0,0.0,1.0,0.0,0.0,constant_charge
bace_hunt_edge_18_19,18,19,0.0,0.0,0.0,0.0,0.0,0.0,constant_charge
bace_hunt_edge_18_39,18,39,46.010644936000006,2.0,0.0,3.0,6.0,0.0,constant_charge
bace_hunt_edge_19_15,19,15,17.990578187999972,0.0,0.0,1.0,0.0,0.0,constant_charge
bace_hunt_edge_19_25,19,25,2.0134218079999755,0.0,0.0,1.0,0.0,0.0,constant_charge
bace_hunt_edge_19_37,19,37,29.015315716000032,2.0,0.0,2.0,5.0,0.0,constant_charge
bace_hunt_edge_1a_18,1a,18,46.12193093199994,3.0,1.0,8.0,14.0,0.0,constant_charge
bace_hunt_edge_1a_32,1a,32,0.883962972000063,1.0,1.0,5.0,9.0,0.0,constant_charge
bace_hunt_edge_1a_37,1a,37,17.10661521599991,1.0,1.0,6.0,9.0,0.0,constant_charge
bace_hunt_edge_1a_40,1a,40,5.072457963999852,1.0,1.0,4.0,6.0,0.0,constant_charge
bace_hunt_edge_20_32,20,32,50.95635686799994,0.0,0.0,2.0,1.0,0.0,constant_charge
bace_hunt_edge_20_34,20,34,16.995329219999917,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_hunt_edge_21_37,21,37,32.96577867999997,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_hunt_edge_21_38,21,38,32.96577867999997,0.0,0.0,1.0,1.0,0.0,constant_charge
bace_hunt_edge_22_16,22,16,28.03130012800011,2.0,0.0,2.0,6.0,0.0,constant_charge
bace_hunt_edge_22_32,22,32,57.046615844000144,4.0,0.0,4.0,11.0,0.0,constant_charge
bace_hunt_edge_23_36,23,36,5.015315716000032,3.0,0.0,0.0,3.0,0.0,constant_charge
bace_hunt_edge_24_14,24,14,37.97681994399994,1.0,0.0,2.0,1.0,0.0,constant_charge
